"system environment","test condition","cores (active)","setting up duration (milliseconds)","multiplication execution duration (milliseconds)"
"8 cores 2147 MB","1000 x 1000","7","37","497"
"8 cores 2147 MB","1300 x 1300","7","69","953"
"8 cores 2147 MB","1600 x 1600","7","75","1712"
"8 cores 2147 MB","1900 x 1900","7","104","2998"
"8 cores 2147 MB","2200 x 2200","7","120","6390"
"8 cores 2147 MB","2500 x 2500","7","276","8251"
"8 cores 2147 MB","2800 x 2800","7","217","10878"
"8 cores 2147 MB","3100 x 3100","7","257","13015"
"8 cores 2147 MB","3400 x 3400","7","237","17777"
"8 cores 2147 MB","3700 x 3700","7","292","21946"
"8 cores 2147 MB","4000 x 4000","7","441","28364"
"8 cores 2147 MB","4300 x 4300","7","462","35193"
"8 cores 2147 MB","4600 x 4600","7","480","42776"
"8 cores 2147 MB","4900 x 4900","7","539","55035"
"8 cores 2147 MB","5200 x 5200","7","809","64720"
"8 cores 2147 MB","5500 x 5500","7","860","81555"
"8 cores 2147 MB","5800 x 5800","7","1173","98579"
